Country,CustomerID
United Kingdom,492979
Germany,9493
France,8556
EIRE,8192
Spain,2532
Netherlands,2367
Belgium,2069
Switzerland,2001
Portugal,1519
Australia,1256
Norway,1085
Italy,803
Channel Islands,758
Finland,695
Cyprus,622
Sweden,462
Unspecified,446
Austria,401
Denmark,389
Japan,358
Poland,341
Israel,297
USA,291
Hong Kong,288
Singapore,229
Iceland,182
Canada,151
Greece,146
Malta,127
United Arab Emirates,68
European Community,61
RSA,57
Lebanon,45
Lithuania,35
Brazil,32
Czech Republic,30
Bahrain,19
Saudi Arabia,10
